Timestamp,Level,Message
"Jun 11, 2023, 10:16:04 AM",WARNING,	 [[{{node Placeholder/_0}}]]
"Jun 11, 2023, 10:16:04 AM",WARNING,2023-06-11 04:46:04.354368: I tensorflow/core/common_runtime/executor.cc:1197] [/device:CPU:0] (DEBUG INFO) Executor start aborting (this does not indicate an error and you can ignore this message): INVALID_ARGUMENT: You must feed a value for placeholder tensor 'Placeholder/_0' with dtype int32
"Jun 11, 2023, 9:18:25 AM",WARNING,	 [[{{node Placeholder/_0}}]]
"Jun 11, 2023, 9:18:25 AM",WARNING,2023-06-11 03:48:25.309569: I tensorflow/core/common_runtime/executor.cc:1197] [/device:CPU:0] (DEBUG INFO) Executor start aborting (this does not indicate an error and you can ignore this message): INVALID_ARGUMENT: You must feed a value for placeholder tensor 'Placeholder/_0' with dtype int32
"Jun 11, 2023, 9:11:19 AM",WARNING,	 [[{{node Placeholder/_0}}]]
"Jun 11, 2023, 9:11:19 AM",WARNING,2023-06-11 03:41:19.841208: I tensorflow/core/common_runtime/executor.cc:1197] [/device:CPU:0] (DEBUG INFO) Executor start aborting (this does not indicate an error and you can ignore this message): INVALID_ARGUMENT: You must feed a value for placeholder tensor 'Placeholder/_0' with dtype int32
"Jun 11, 2023, 9:10:35 AM",INFO,Kernel interrupted: 79899d14-3d91-472b-8e7b-447abb909f1a
"Jun 11, 2023, 9:07:02 AM",WARNING,	 [[{{node Placeholder/_0}}]]
"Jun 11, 2023, 9:07:02 AM",WARNING,2023-06-11 03:37:02.554611: I tensorflow/core/common_runtime/executor.cc:1197] [/device:CPU:0] (DEBUG INFO) Executor start aborting (this does not indicate an error and you can ignore this message): INVALID_ARGUMENT: You must feed a value for placeholder tensor 'Placeholder/_0' with dtype int32
"Jun 11, 2023, 9:04:02 AM",WARNING,	 [[{{node Placeholder/_0}}]]
"Jun 11, 2023, 9:04:02 AM",WARNING,2023-06-11 03:34:02.650997: I tensorflow/core/common_runtime/executor.cc:1197] [/device:CPU:0] (DEBUG INFO) Executor start aborting (this does not indicate an error and you can ignore this message): INVALID_ARGUMENT: You must feed a value for placeholder tensor 'Placeholder/_0' with dtype int32
